time,sqNum,stnum,state_cb,sqDiff,stDiff,timeLastMsg,recentChange,MU1Cs,MU2Cs,MU3Cs,MU4Cs,Cs,consistency,threePhaseVSum,threePhaseCSum,threePhaseVMU1,MU1VoltageAngleA,MU1VoltageAngleB,MU1VoltageAngleC,threePhaseCurrentMU1,MU1CurrentAngleA,MU1CurrentAngleB,MU1CurrentAngleC,MU1Log,threePhaseVMU2,MU2VoltageAngleA,MU2VoltageAngleB,MU2VoltageAngleC,threePhaseCMU2,MU2CurrentAngleA,MU2CurrentAngleB,MU2CurrentAngleC,MU2Log,threePhaseVMU3,MU3VoltageAngleA,MU3VoltageAngleB,MU3VoltageAngleC,threePhaseCMU3,MU3CurrentAngleA,MU3CurrentAngleB,MU3CurrentAngleC,MU3Log,threePhaseVMU4,MU4VoltageAngleA,MU4VoltageAngleB,MU4VoltageAngleC,threePhaseCMU4,IED4_iA,IED4_iB,IED4_iC,MU4Log,any_relay,class
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000149159066388806,480,480,120,3.14159265358979,3.14159265358979,0,120,0,0,3.14159265358979,0,120,3.14159265358979,3.14159265358979,0,120,3.14159265358979,3.14159265358979,0,0,120,3.14159265358979,3.14159265358979,0,120,0,0,3.14159265358979,0,120,3.14159265358979,3.14159265358979,0,120,-0.155328365396785,-0.0797608235938428,0.235089188990578,0,0,0
0.2,20,0,0,0,0,0,0,0,0,0,0,0,-11.5148748836958,2.23976261815327,0.73775313867457,0.581787266711076,3.14159265358979,3.14159265358979,0,0.320629994910736,0,0,3.14159265358979,0,0.572124485226928,3.14159265358979,3.14159265358979,0,0.0451561715488612,3.14159265358979,3.14159265358979,0,0,0.55470333895892,3.14159265358979,3.14159265358979,0,0.190317268059605,0,0,3.14159265358979,0,0.531147527256344,3.14159265358979,3.14159265358979,0,0.181649704155367,-0.155330744357267,-0.0797521442090413,0.235082888691726,0,0,0
0.4,40,0,0,0,0,0,0,0,0,0,0,0,-11.5148749158516,2.23976261842362,0.737753138103628,0.581787266766523,3.14159265358979,3.14159265358979,0,0.320629994246132,0,0,3.14159265358979,0,0.57212448531127,3.14159265358979,3.14159265358979,0,0.0451561715639701,3.14159265358979,3.14159265358979,0,0,0.55470333905087,3.14159265358979,3.14159265358979,0,0.190317268094338,0,0,3.14159265358979,0,0.531147527294955,3.14159265358979,3.14159265358979,0,0.181649704199188,-0.155330744196605,-0.0797521442588969,0.235082888575817,0,0,0
0.6,60,0,0,0,0,0,0,0,0,0,0,0,-11.5148749152105,2.23976261845534,0.737753138096625,0.581787266777021,3.14159265358979,3.14159265358979,0,0.320629994240524,0,0,3.14159265358979,0,0.57212448531921,3.14159265358979,3.14159265358979,0,0.045156171564382,3.14159265358979,3.14159265358979,0,0,0.554703339058084,3.14159265358979,3.14159265358979,0,0.190317268093458,0,0,3.14159265358979,0,0.531147527301025,3.14159265358979,3.14159265358979,0,0.181649704198261,-0.155330744222774,-0.0797521442445609,0.235082888589247,0,0,0
0.8,80,0,0,0,0,0,0,0,0,0,0,0,-11.5148749143663,2.23976261848487,0.737753138094827,0.581787266786879,3.14159265358979,3.14159265358979,0,0.320629994240887,0,0,3.14159265358979,0,0.572124485326601,3.14159265358979,3.14159265358979,0,0.0451561715646595,3.14159265358979,3.14159265358979,0,0,0.554703339064489,3.14159265358979,3.14159265358979,0,0.190317268092297,0,0,3.14159265358979,0,0.5311475273069,3.14159265358979,3.14159265358979,0,0.181649704196984,-0.155330744250552,-0.0797521442306277,0.235082888602993,0,0,0
1,100,0,0,0,0,0,0,0,0,0,0,0,-11.5148749135468,2.23976261851375,0.737753138092605,0.581787266796566,3.14159265358979,3.14159265358979,0,0.320629994240853,0,0,3.14159265358979,0,0.572124485333777,3.14159265358979,3.14159265358979,0,0.0451561715649245,3.14159265358979,3.14159265358979,0,0,0.554703339070794,3.14159265358979,3.14159265358979,0,0.19031726809113,0,0,3.14159265358979,0,0.531147527312609,3.14159265358979,3.14159265358979,0,0.181649704195697,-0.15533074427801,-0.0797521442167725,0.235082888616649,0,0,0
1.2,120,0,0,0,0,0,0,0,0,0,0,0,-11.5148749127357,2.23976261854252,0.737753138090464,0.581787266806172,3.14159265358979,3.14159265358979,0,0.320629994240835,0,0,3.14159265358979,0,0.572124485340941,3.14159265358979,3.14159265358979,0,0.0451561715651859,3.14159265358979,3.14159265358979,0,0,0.554703339077042,3.14159265358979,3.14159265358979,0,0.190317268090004,0,0,3.14159265358979,0,0.531147527318365,3.14159265358979,3.14159265358979,0,0.181649704194439,-0.155330744305197,-0.0797521442030811,0.235082888630154,0,0,0
1.4,140,0,0,0,0,0,0,0,0,0,0,0,-11.514874911932,2.23976261857102,0.737753138088396,0.581787266815673,3.14159265358979,3.14159265358979,0,0.320629994240843,0,0,3.14159265358979,0,0.572124485347985,3.14159265358979,3.14159265358979,0,0.0451561715654486,3.14159265358979,3.14159265358979,0,0,0.554703339083256,3.14159265358979,3.14159265358979,0,0.190317268088894,0,0,3.14159265358979,0,0.531147527324103,3.14159265358979,3.14159265358979,0,0.181649704193211,-0.155330744332111,-0.0797521441895279,0.235082888643515,0,0,0
1.6,160,0,0,0,0,0,0,0,0,0,0,0,-11.514874911137,2.23976261859923,0.737753138086355,0.581787266825076,3.14159265358979,3.14159265358979,0,0.320629994240855,0,0,3.14159265358979,0,0.572124485354997,3.14159265358979,3.14159265358979,0,0.0451561715657091,3.14159265358979,3.14159265358979,0,0,0.554703339089474,3.14159265358979,3.14159265358979,0,0.190317268087796,0,0,3.14159265358979,0,0.531147527329684,3.14159265358979,3.14159265358979,0,0.181649704191995,-0.155330744358737,-0.0797521441761417,0.235082888656755,0,0,0
1.8,180,0,0,0,0,0,0,0,0,0,0,0,-11.5148749103548,2.23976261862691,0.737753138084261,0.58178726683433,3.14159265358979,3.14159265358979,0,0.32062999424084,0,0,3.14159265358979,0,0.572124485361831,3.14159265358979,3.14159265358979,0,0.0451561715659598,3.14159265358979,3.14159265358979,0,0,0.554703339095481,3.14159265358979,3.14159265358979,0,0.190317268086708,0,0,3.14159265358979,0,0.531147527335268,3.14159265358979,3.14159265358979,0,0.181649704190754,-0.155330744385101,-0.0797521441628654,0.235082888669843,0,0,0
